Service Unit,Bill Unit,Pay Unit,Bill Rate,Pay Rate,Payroll OTUnits,Payroll UnitsWithoutOT,Payroll OTAmount,Payroll RegAmount,Total Payroll Amount,Gender,Age,Marital Status,Race,IsCaregiverTerminated,CaregiverTenureYears,Caregiver Attributes_Can do Nights,Caregiver Attributes_Can do Days
Personal Care,Hourly,Hourly,33,19,0,3,0,57,57,Female,32,Unknown,British Canadian,1,3,0,1
Personal Care,Hourly,Hourly,36,22,0,12,0,264,264,Female,60,Unknown,Hispanic or Latino Canadian,0,3,1,0
Post Operative Care,Hourly,Hourly,36,19,0,4,0,76,76,Female,28,Single,Middle Eastern Canadian,1,4,0,1
Personal Care,Hourly,Hourly,32,18,0,4,0,72,163.39,Female,40,Married,Italian Canadian,1,4,0,1
HMAP CH Visit,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
HMAP CH Visit,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Live-In,Visit,Visit,497.25,321.75,0,1,0,321.75,321.75,Female,52,Married,African Canadian,0,2,1,1
Personal Care,Hourly,Hourly,38,21,0,4,0,84,84,Female,57,Divorce,British Canadian,0,2,1,0
Personal Care,Hourly,Hourly,33,24,0,4,0,96,96,Female,53,Married,Middle Eastern Canadian,1,6,0,1
RPNRN Shift,Hourly,Hourly,48,30,0,12,0,360,402,Female,49,Separated,Middle Eastern Canadian,1,4,1,1
Personal Care,Hourly,Hourly,36,21.5,0,4,0,86,86,Female,44,Divorce,Eastern European Canadian,0,3,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,32,22,0,5,0,110,110,Female,53,Married,Middle Eastern Canadian,1,6,0,1
Personal Care,Hourly,Hourly,33,21,0,12,0,252,252,Male,59,Married,Middle Eastern Canadian,1,5,1,1
HMAP CH Visit,Visit,Visit,125,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,34,21.5,0,4,0,86,86,Female,52,Unknown,Middle Eastern Canadian,0,4,1,1
Personal Care,Hourly,Hourly,32,20,0,8,0,160,160,Female,42,Married,Middle Eastern Canadian,1,5,0,1
Personal Care,Hourly,Hourly,40,21.5,0,12,0,258,258,Female,38,Married,Middle Eastern Canadian,0,2,1,1
Personal Care,Hourly,Hourly,36,21.5,0,12,0,258,258,Female,60,Unknown,Hispanic or Latino Canadian,0,3,1,0
Palliative,Hourly,Hourly,35,21,0,2,0,42,42,Female,59,Married,Caribbean Canadian,1,4,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,35.57,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,32,20,0,4.5,0,90,90,Female,32,Single,French Canadian,1,3,0,1
Personal Care,Hourly,Hourly,35,20,0,8,0,160,160,Female,44,Divorce,Eastern European Canadian,0,3,0,1
Personal Care,Hourly,Hourly,41,19,0,12,0,228,228,Female,45,Married,Asian Canadian,1,11,0,1
Personal Care,Hourly,Hourly,32,20,0,4,0,80,80,Female,60,Married,Middle Eastern Canadian,1,10,1,1
Personal Care,Hourly,Hourly,41,19,0,12,0,228,228,Female,55,Single,Middle Eastern Canadian,1,5,0,1
Personal Care,Hourly,Hourly,32,20,0,6,0,120,120,Female,60,Married,Middle Eastern Canadian,1,10,1,1
Personal Care,Hourly,Hourly,35,20,0,8,0,160,162.1,Female,43,Married,Middle Eastern Canadian,1,3,0,1
Personal Care,Hourly,Hourly,32,20,0,6,0,120,120,Female,52,Unknown,British Canadian,1,6,1,1
Personal Care,Hourly,Hourly,34,19,0,4,0,76,78.52,Female,28,Single,Middle Eastern Canadian,1,4,0,1
Personal Care,Hourly,Hourly,33,21.5,0,12,0,258,258,Male,40,Married,Asian Canadian,1,11,1,0
Respite Personal Care,Hourly,Hourly,33,19,0,3,0,57,57,Female,46,Married,Asian Canadian,1,3,0,1
Personal Care,Hourly,Hourly,37,21,0,3.5,0,73.5,73.5,Female,45,Married,Asian Canadian,1,1,0,1
Personal Care,Hourly,Hourly,38,22,0,8,0,176,178.4,Female,56,Married,Middle Eastern Canadian,0,0,0,0
Personal Care,Hourly,Hourly,38,21,0,12,0,252,252,Female,45,Married,Asian Canadian,1,11,0,1
Personal Care,Hourly,Hourly,35,20,0,4,0,80,80,Female,41,Married,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,32,20,0,8,0,160,185,Male,52,Married,African Canadian,1,8,1,0
Post Operative Care,Hourly,Hourly,36,21.5,0,12,0,258,258,Female,53,Unknown,Middle Eastern Canadian,0,2,1,1
Palliative,Hourly,Hourly,35,21,0,10,0,210,210,Male,52,Married,African Canadian,1,8,1,0
Palliative,Hourly,Hourly,42,21,0,5,0,105,105,Female,32,Separated,African Canadian,0,1,0,1
Personal Care,Hourly,Hourly,32,19,0,6,0,114,114,Female,38,Married,African Canadian,1,5,0,1
Personal Care,Hourly,Hourly,31,21,0,8,0,168,168,Male,56,Married,African Canadian,0,9,1,1
Personal Care,Hourly,Hourly,36,21,0,12.03,0,252.63,252.63,Female,36,Married,Middle Eastern Canadian,1,3,1,0
Personal Care,Hourly,Hourly,31,17,0,5,0,85,85,Female,28,Single,Middle Eastern Canadian,1,4,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,31,20,0,12,0,240,240,Female,60,Unknown,Hispanic or Latino Canadian,0,3,1,0
Personal Care,Hourly,Hourly,31,22,0,12,0,264,264,Female,53,Married,Middle Eastern Canadian,1,6,0,1
Personal Care,Hourly,Hourly,35,21.5,0,8,0,172,176.08,Female,51,Married,Middle Eastern Canadian,0,6,0,1
Personal Care,Hourly,Hourly,34,20,0,12,0,240,240,Male,56,Married,African Canadian,0,9,1,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,36,21.5,0,4,0,86,86,Female,52,Unknown,Middle Eastern Canadian,0,4,1,1
Personal Care,Hourly,Hourly,36,21.5,0,12,0,258,258,Female,53,Married,Middle Eastern Canadian,0,3,1,0
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,32,20,0,10,0,200,200,Female,59,Married,Asian Canadian,0,7,0,1
Personal Care,Hourly,Hourly,40,21.5,0,4,0,86,86,Male,28,Single,Middle Eastern Canadian,0,2,1,1
Personal Care,Hourly,Hourly,36,21,0,4,0,84,84,Female,58,Unknown,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,36,21.5,0,12,0,258,258,Female,53,Married,Middle Eastern Canadian,0,3,1,0
Palliative,Hourly,Hourly,44,22,0,3,0,66,66,Male,56,Married,African Canadian,0,9,1,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Live-In,Hourly,Hourly,35,21,0,16,0,336,336,Female,36,Married,African Canadian,1,2,1,0
Personal Care,Hourly,Hourly,32,20,0,4.5,0,90,90,Female,44,Divorce,Eastern European Canadian,0,3,0,1
Personal Care,Hourly,Hourly,32,19,0,12,0,228,228,Female,46,Divorce,Eastern European Canadian,0,0,0,1
Personal Care,Hourly,Hourly,34,20,0,4,0,80,87.98,Female,36,Married,Middle Eastern Canadian,1,3,1,0
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,33,21,0,12,0,252,252,Male,40,Married,Asian Canadian,1,11,1,0
HMAP CH Visit,Hourly,Visit,70,0,0,1,0,0,0,Female,56,Married,Middle Eastern Canadian,0,10,0,1
Personal Care,Hourly,Hourly,36,20,0,6,0,120,120,Female,62,Unknown,British Canadian,0,3,0,1
Personal Care,Hourly,Hourly,35,18,0,3,0,54,54,Female,28,Single,Middle Eastern Canadian,1,4,0,1
Personal Care,Hourly,Hourly,40,21.5,0,6,0,129,129,Female,48,Married,Asian Canadian,0,1,0,0
Personal Care,Hourly,Hourly,35,22,0,12,0,264,264,Male,55,Single,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,36,21.5,0,6,0,129,129,Female,62,Unknown,British Canadian,0,3,0,1
Personal Care,Hourly,Hourly,36,22,0,12,0,264,264,Female,52,Married,Middle Eastern Canadian,0,5,1,1
Live-In,Visit,Visit,229.5,148.5,0,1,0,148.5,148.5,Female,52,Married,African Canadian,0,2,1,1
Personal Care,Hourly,Hourly,34,20,0,3,0,60,70,Female,46,Unknown,African Canadian,1,3,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,36,22.5,0,4,0,90,90,Female,52,Unknown,British Canadian,1,6,1,1
Palliative,Hourly,Hourly,44,21.5,0,4,0,86,86,Female,48,Married,Asian Canadian,0,1,0,0
Personal Care,Hourly,Hourly,36,21.5,0,10.67,0,229.41,246.21,Female,43,Married,Middle Eastern Canadian,1,3,0,1
Personal Care,Hourly,Hourly,41,19,0,12,0,228,228,Female,69,Married,Asian Canadian,1,12,0,1
HMAP CH Visit,Hourly,Visit,40,0,0,1,0,0,0,Female,56,Married,Middle Eastern Canadian,0,10,0,1
Personal Care,Hourly,Hourly,32,17,0,4,0,68,71.49,Female,40,Married,Italian Canadian,1,4,0,1
Personal Care,Hourly,Hourly,31,19,0,8,0,152,152,Female,51,Married,Middle Eastern Canadian,0,6,0,1
Live-In,Visit,Visit,448.5,180,0,1,0,180,180,Female,2,Married,African Canadian,1,5,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,36,22,0,8,0,176,176,Female,60,Unknown,Hispanic or Latino Canadian,0,3,1,0
Personal Care,Hourly,Hourly,41,19,0,12,0,228,228,Female,69,Married,Asian Canadian,1,12,0,1
RPNRN Shift,Hourly,Hourly,48,30,0,12,0,360,360,Female,60,Married,Middle Eastern Canadian,1,10,1,1
Personal Care,Hourly,Hourly,41,20,0,12,0,240,240,Female,45,Married,Asian Canadian,1,11,0,1
Personal Care,Hourly,Hourly,32,20,0,10,0,200,200,Female,59,Married,Asian Canadian,0,7,0,1
Personal Care,Hourly,Hourly,41,19,0,12,0,228,228,Female,45,Married,Asian Canadian,1,11,0,1
HMAP CH Visit,Hourly,Visit,75,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Live-In,Visit,Visit,448.5,292.5,0,1,0,292.5,292.5,Female,2,Married,African Canadian,1,5,0,1
Personal Care,Hourly,Hourly,35,22,0,5,0,110,110,Male,55,Single,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,34,18,0,4,0,72,72,Female,28,Single,Middle Eastern Canadian,1,4,0,1
Personal Care,Hourly,Hourly,25,18,0,7,0,126,126,Female,52,Married,Middle Eastern Canadian,0,5,1,1
Live-In,Visit,Visit,306,198,0,1,0,198,248,Female,52,Married,African Canadian,0,2,1,1
Personal Care,Hourly,Hourly,35,22,0,4,0,88,88,Female,52,Unknown,British Canadian,1,6,1,1
Caregiver Training,Hourly,Hourly,35,20,0,3.75,0,75,75,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,38,21.5,0,8,0,172,172,Female,48,Married,Middle Eastern Canadian,1,1,0,1
Personal Care,Hourly,Hourly,32,21,0,6,0,126,126,Female,52,Unknown,British Canadian,1,6,1,1
Personal Care,Hourly,Hourly,32,20,0,6,0,120,120,Female,60,Married,Middle Eastern Canadian,1,10,1,1
Personal Care,Hourly,Hourly,33,21.5,0,12,0,258,258,Male,40,Married,Asian Canadian,1,11,1,0
Personal Care,Hourly,Hourly,41,19,0,12,0,228,228,Female,69,Married,Asian Canadian,1,12,0,1
Palliative,Hourly,Hourly,35,21,0,3,0,63,63,Female,59,Married,Caribbean Canadian,1,4,0,1
Respite Personal Care,Hourly,Hourly,37,20,0,10,0,200,200,Female,54,Unknown,Asian Canadian,1,2,1,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,32,20,0,8,0,160,160,Male,56,Married,African Canadian,0,9,1,1
Personal Care,Hourly,Hourly,34,19,0,3,0,57,67,Female,28,Single,Middle Eastern Canadian,1,4,0,1
Personal Care,Hourly,Hourly,37,23,0,4,0,92,202.86,Female,52,Unknown,British Canadian,1,6,1,1
Personal Care,Hourly,Hourly,36,21.5,0,8,0,172,172,Female,60,Unknown,Hispanic or Latino Canadian,0,3,1,0
RPNRN Visit,Visit,Visit,140,65,0,1,0,65,65,Female,66,Married,Caribbean Canadian,0,3,1,1
Personal Care,Hourly,Hourly,31,21,0,12,0,252,252,Male,56,Married,African Canadian,0,9,1,1
Palliative,Hourly,Hourly,35,18,0,3,0,54,54,Female,28,Single,Middle Eastern Canadian,1,4,0,1
Personal Care,Hourly,Hourly,32,22,0,4,0,88,88,Female,53,Married,Middle Eastern Canadian,1,6,0,1
Personal Care,Hourly,Hourly,32,18,0,4,0,72,72,Female,40,Married,Italian Canadian,1,4,0,1
Personal Care,Hourly,Hourly,33,22,0,8,0,176,176,Female,42,Married,Middle Eastern Canadian,1,5,0,1
Personal Care,Hourly,Hourly,38,21.5,0,4,0,86,86,Female,51,Married,Middle Eastern Canadian,0,6,0,1
Personal Care,Hourly,Hourly,38,22,0,12,0,264,264,Female,53,Unknown,Middle Eastern Canadian,0,2,1,1
Palliative,Hourly,Hourly,36,21,0,12,0,252,272,Female,52,Married,African Canadian,0,2,1,1
Personal Care,Hourly,Hourly,32,20,0,4,0,80,80,Male,59,Married,Middle Eastern Canadian,1,5,1,1
Personal Care,Hourly,Hourly,33,21,0,10.5,0,220.5,220.5,Male,59,Married,Middle Eastern Canadian,1,5,1,1
Personal Care,Hourly,Hourly,33,21,0,10,0,210,210,Female,59,Married,Asian Canadian,0,7,0,1
Palliative,Hourly,Hourly,36,21,10,2,210,42,272,Female,32,Separated,African Canadian,0,1,0,1
Personal Care,Hourly,Hourly,36,21.5,0,4,0,86,86,Female,52,Married,Middle Eastern Canadian,0,5,1,1
Personal Care,Hourly,Hourly,31,18,0,12,0,216,216,Female,51,Married,Middle Eastern Canadian,0,6,0,1
Personal Care,Hourly,Hourly,31,21,0,12,0,252,252,Male,55,Single,Middle Eastern Canadian,1,3,1,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,35,22,0,4,0,88,103.47,Female,52,Unknown,British Canadian,1,6,1,1
Personal Care,Hourly,Hourly,38,21,0,4,0,84,84,Female,51,Married,Middle Eastern Canadian,1,2,0,1
Live-In,Visit,Visit,340,250,0,1,0,250,250,Female,43,Single,Middle Eastern Canadian,1,4,0,1
Personal Care,Hourly,Hourly,35,19,0,4,0,76,76,Female,28,Single,Middle Eastern Canadian,1,4,0,1
Personal Care,Hourly,Hourly,34,20,0,4,0,80,80,Female,36,Married,Middle Eastern Canadian,1,3,1,0
Personal Care,Hourly,Hourly,31,20,0,12,0,240,240,Female,51,Married,Middle Eastern Canadian,0,6,0,1
Personal Care,Hourly,Hourly,33,19,0,5,0,95,95,Male,41,Married,African Canadian,1,5,0,1
RPNRN Visit,Visit,Visit,140,65,0,1,0,65,65,Female,66,Married,Caribbean Canadian,0,3,1,1
Personal Care,Hourly,Hourly,36,21.5,0,8,0,172,172,Female,59,Married,Middle Eastern Canadian,0,2,0,0
Personal Care,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,34,22,0,2,0,44,44,Male,56,Married,Middle Eastern Canadian,1,3,0,1
Personal Care,Hourly,Hourly,34,21.5,0,10,0,215,215,Female,59,Married,Asian Canadian,0,7,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,0,21,0,4,0,84,84,Female,59,Married,Middle Eastern Canadian,1,1,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,32,19,0,6,0,114,114,Female,43,Single,Middle Eastern Canadian,0,1,1,1
Personal Care,Hourly,Hourly,36,21,0,4,0,84,84,Female,51,Married,Middle Eastern Canadian,0,6,0,1
Personal Care,Hourly,Hourly,35,20,0,4,0,80,80,Female,45,Married,Asian Canadian,0,2,0,1
Personal Care,Hourly,Hourly,40,21,0,5,147,105,252,Female,38,Married,Middle Eastern Canadian,0,2,1,1
Respite Personal Care,Hourly,Hourly,34,21,0,8,0,168,168,Female,53,Unknown,Middle Eastern Canadian,1,4,1,1
Personal Care,Hourly,Hourly,34,18,0,4,0,72,97,Female,40,Married,Italian Canadian,1,4,0,1
Personal Care,Hourly,Hourly,32,20,0,11,0,220,220,Female,43,Married,Middle Eastern Canadian,1,5,0,1
Personal Care,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,31,21,0,8,0,252,252,Male,56,Married,African Canadian,0,9,1,1
Personal Care,Hourly,Hourly,33,20,0,12,0,240,240,Female,46,Divorce,Eastern European Canadian,0,0,0,1
Personal Care,Hourly,Hourly,32,19,0,10,0,190,190,Female,59,Married,Asian Canadian,0,7,0,1
Other,Visit,Visit,130,40,0,1,0,40,40,Female,53,Married,Middle Eastern Canadian,1,6,0,1
Personal Care,Hourly,Hourly,31,21,0,4,0,84,84,Male,56,Married,African Canadian,0,9,1,1
Personal Care,Hourly,Hourly,35,22,0,8,0,176,176,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,36,21.5,0,12,0,258,258,Female,52,Married,Middle Eastern Canadian,0,5,1,1
Personal Care,Hourly,Hourly,35,19,0,4,0,76,76,Female,28,Single,Middle Eastern Canadian,1,4,0,1
Personal Care,Hourly,Hourly,32,20,0,8,0,160,160,Male,56,Married,African Canadian,0,9,1,1
HMAP CH Visit,Visit,Visit,125,0,0,1,0,0,0,Male,56,Married,Middle Eastern Canadian,1,3,0,1
Personal Care,Hourly,Hourly,35,22,0,4,0,88,88,Female,52,Unknown,British Canadian,1,6,1,1
Live-In,Visit,Visit,448.5,292.5,0,1,0,292.5,292.5,Female,2,Married,African Canadian,1,5,0,1
Personal Care,Hourly,Hourly,32,20,0,6.5,0,130,130,Male,53,Married,Asian Canadian,0,11,0,1
Post Operative Care,Hourly,Hourly,37,21,0,11.5,0,241.5,241.5,Female,44,Married,African Canadian,1,2,1,0
Personal Care,Hourly,Hourly,31,20,0,12,0,240,240,Female,41,Married,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,41,21,0,12,0,252,252,Female,53,Unknown,Middle Eastern Canadian,1,4,1,1
Personal Care,Hourly,Hourly,32,21,0,6,0,126,126,Female,52,Unknown,British Canadian,1,6,1,1
Personal Care,Hourly,Hourly,35,0,0,4,0,0,0,Female,50,Married,Middle Eastern Canadian,0,3,0,1
Personal Care,Hourly,Hourly,35,22,0,4,0,88,88,Male,55,Single,Middle Eastern Canadian,1,3,1,1
Delivery,Visit,Visit,35,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,36,22,0,12,0,264,264,Female,60,Unknown,Hispanic or Latino Canadian,0,3,1,0
Personal Care,Hourly,Hourly,36,20.5,0,5,0,102.5,102.5,Female,61,Married,Middle Eastern Canadian,1,2,1,0
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,35,0,0,4,0,0,0,Female,58,Unknown,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,31,20,0,5,0,100,100,Female,51,Married,Middle Eastern Canadian,0,6,0,1
Phone Consult,Hourly,Hourly,35,0,0,0.25,0,0,0,Female,56,Married,Middle Eastern Canadian,0,10,0,1
Personal Care,Hourly,Hourly,36,21.5,0,6,0,129,129,Female,62,Unknown,British Canadian,0,3,0,1
Respite Personal Care,Hourly,Hourly,35,21,0,3.5,0,73.5,73.5,Female,44,Married,African Canadian,1,2,1,0
Personal Care,Hourly,Hourly,32,20,0,12.25,0,245,245,Male,56,Married,African Canadian,0,9,1,1
Personal Care,Hourly,Hourly,32,20,0,8,0,160,160,Female,59,Married,Asian Canadian,0,7,0,1
Palliative,Hourly,Hourly,38,23,0,12,0,276,276,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,32,20,0,7,0,140,140,Female,46,Divorce,Eastern European Canadian,0,0,0,1
Personal Care,Hourly,Hourly,17.5,21.5,0,4,0,86,86,Female,52,Unknown,Middle Eastern Canadian,0,4,1,1
Personal Care,Hourly,Hourly,32,20,0,10,0,200,200,Female,59,Married,Asian Canadian,0,7,0,1
Palliative,Hourly,Hourly,38,21,0,8,0,168,168,Female,52,Married,African Canadian,0,2,1,1
Personal Care,Hourly,Hourly,38,21.5,0,8,0,172,172,Female,48,Married,Middle Eastern Canadian,1,1,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Respite Personal Care,Hourly,Hourly,37,21,0,9.5,0,199.5,199.5,Female,59,Married,Asian Canadian,0,7,0,1
Personal Care,Hourly,Hourly,32,20,0,4.5,0,90,90,Female,44,Divorce,Eastern European Canadian,0,3,0,1
Palliative,Hourly,Hourly,40,21,0,12,0,252,252,Male,56,Married,African Canadian,0,9,1,1
Personal Care,Hourly,Hourly,35,21,0,4,0,84,84,Female,53,Unknown,Middle Eastern Canadian,1,4,1,1
Personal Care,Hourly,Hourly,36,21.5,0,4,0,86,86,Female,60,Unknown,Hispanic or Latino Canadian,0,3,1,0
Personal Care,Hourly,Hourly,34,21.5,0,4,0,86,86,Female,52,Unknown,Middle Eastern Canadian,0,4,1,1
Caregiver Training,Hourly,Hourly,35,21,0,4,0,84,108.8,Female,38,Married,African Canadian,0,1,0,1
Personal Care,Hourly,Hourly,34,19,0,3,0,57,57,Female,28,Single,Middle Eastern Canadian,1,4,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,31,20,0,12,0,240,240,Female,41,Married,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,39,21.5,0,4,0,86,86,Female,50,Married,Middle Eastern Canadian,0,2,0,1
Personal Care,Hourly,Hourly,28,18,0,5,0,90,90,Female,51,Married,Middle Eastern Canadian,1,5,0,1
Personal Care,Hourly,Hourly,36,21,0,12,0,252,269.5,Female,36,Married,Middle Eastern Canadian,1,3,1,0
Personal Care,Hourly,Hourly,38,21,0,7,0,147,147,Female,58,Unknown,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,37,22,0,4,0,88,102.88,Female,50,Married,Middle Eastern Canadian,0,3,0,1
Personal Care,Hourly,Hourly,32,18,0,8,0,144,144,Female,36,Single,African Canadian,1,5,0,1
Delivery,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,33,19,0,8,0,152,152,Female,33,Single,British Canadian,1,4,0,1
Other,Visit,Visit,130,50,0,1,0,50,50,Female,55,Single,Middle Eastern Canadian,1,5,0,1
Personal Care,Hourly,Hourly,41,19,0,9,0,256.5,256.5,Female,52,Unknown,Middle Eastern Canadian,0,4,1,1
HMAP CH Visit,Visit,Visit,175,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Other,Visit,Hourly,130,20,0,1.5,0,30,30,Female,53,Married,Middle Eastern Canadian,1,6,0,1
Phone Consult,Hourly,Hourly,35,21,0,0.25,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,38,22,4,0,88,0,88,Female,58,Married,Middle Eastern Canadian,1,2,0,1
Personal Care,Hourly,Hourly,39,21,0,12,0,252,252,Female,38,Married,Middle Eastern Canadian,0,2,1,1
Personal Care,Hourly,Hourly,35,20,0,8,0,240,245.04,Female,43,Married,Middle Eastern Canadian,1,3,0,1
Personal Care,Hourly,Hourly,36,22,0,8,0,176,178.4,Female,53,Unknown,Middle Eastern Canadian,0,2,1,1
Personal Care,Hourly,Hourly,36,22,0,8,0,176,176,Female,53,Unknown,Middle Eastern Canadian,0,2,1,1
Personal Care,Hourly,Hourly,31,22,0,12,0,264,264,Female,53,Married,Middle Eastern Canadian,1,6,0,1
Personal Care,Hourly,Hourly,31,21,0,12,0,252,252,Male,55,Single,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,36,22.5,0,4,0,90,153.68,Female,52,Unknown,British Canadian,1,6,1,1
Phone Consult,Hourly,Hourly,35,0,0,0.25,0,0,0,Female,56,Married,Middle Eastern Canadian,0,10,0,1
HMAP CH Visit,Visit,Visit,150,0,0,1,0,0,0,Male,53,Married,Asian Canadian,0,11,0,1
Personal Care,Hourly,Hourly,38,20,0,5.5,0,110,110,Female,50,Married,Middle Eastern Canadian,0,1,0,0
Personal Care,Hourly,Hourly,38,21.5,0,8,0,172,172,Female,48,Married,Middle Eastern Canadian,1,1,0,1
Personal Care,Hourly,Hourly,36,21,0,9.5,0,199.5,199.5,Female,58,Married,African Canadian,1,2,0,1
Personal Care,Hourly,Hourly,37,21.5,0,9.5,0,204.25,204.25,Female,58,Married,African Canadian,1,2,0,1
Personal Care,Hourly,Hourly,36,21.5,0,4,0,86,86,Female,50,Married,Middle Eastern Canadian,0,3,0,1
Palliative,Hourly,Hourly,38,21.5,0,12,0,258,278,Female,36,Married,Middle Eastern Canadian,0,1,1,1
Personal Care,Hourly,Hourly,34,20,0,4,0,80,82.52,Female,32,Single,French Canadian,1,3,0,1
Palliative,Hourly,Hourly,36,21,0,12,0,252,272,Female,52,Married,African Canadian,0,2,1,1
Personal Care,Hourly,Hourly,41,18,0,12,0,216,216,Female,55,Single,Middle Eastern Canadian,1,5,0,1
Personal Care,Hourly,Hourly,34,21,0,4,0,84,84,Female,58,Married,Middle Eastern Canadian,1,2,0,1
Palliative,Hourly,Hourly,38,21,0,8,0,168,168,Female,52,Married,African Canadian,0,2,1,1
Personal Care,Hourly,Hourly,35,22,0,4,0,88,88,Female,52,Unknown,British Canadian,1,6,1,1
Personal Care,Hourly,Hourly,36,20,0,4,0,80,80,Female,42,Married,African Canadian,1,3,0,1
Personal Care,Hourly,Hourly,37,22.5,9.5,9.5,213.75,0,213.75,Male,55,Single,Middle Eastern Canadian,1,3,1,1
Personal Care,Hourly,Hourly,32,20,0,10,0,200,200,Female,51,Married,Middle Eastern Canadian,0,6,0,1
HMAP INCL,Visit,Visit,0,0,0,1,0,0,0,Female,41,Divorce,Hispanic or Latino Canadian,0,3,1,1
Personal Care,Hourly,Hourly,32,18,0,4,0,72,72,Male,33,Single,Middle Eastern Canadian,1,4,0,1
Personal Care,Hourly,Hourly,34,21.5,0,10,0,215,215,Female,45,Married,Asian Canadian,0,2,0,1
